Image,Title,Rating,Price,Ad_Organic
https://m.media-amazon.com/images/I/71OjWwgFuEL._AC_UY218_.jpg,"Apple 2026 MacBook Air 13″ laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, 12MP Center Stage Camera, Touch ID; Starlight",4.6 out of 5 stars,"1,10,300",Ad
https://m.media-amazon.com/images/I/51oZp2EkLjL._AC_UY218_.jpg,"HP Professional 14 (2026) – Intel Core 5 120U (14th Gen), 16GB RAM, 512GB SSD, Windows 11 Pro, MSO 2024, Copilot Key, Fingerprint Reader, Intel Iris Xe Graphics, 14″ FHD Display, 1.53Kg – Turbo Silver",5.0 out of 5 stars,"60,500",Organic
https://m.media-amazon.com/images/I/71oGM-26fZL._AC_UY218_.jpg,"ASUS Vivobook 16, Snapdragon X, 16GB RAM, 512GB SSD, FHD+ 16"", Windows 11, Office Home 2024, Quiet Blue, 1.88kg, X1607QA-MB049WS, Qualcomm Adreno iGPU, 45TOPS, M365 Basic (1Year)* Laptop",4.2 out of 5 stars,"58,990",Organic
https://m.media-amazon.com/images/I/71CgSaE-qeL._AC_UY218_.jpg,"acer Aspire Lite, AMD Ryzen 5 7430U Processor,Office 2024 + M365 Basic, 16 GB RAM, 512 GB SSD, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Grey, 1.59 kg, AL15-41, Thin and Light Laptop",4.0 out of 5 stars,"47,990",Organic
https://m.media-amazon.com/images/I/61kNhhiAxSL._AC_UY218_.jpg,"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15.6 Inch (39.6cm) FHD Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office Home 2024/3months Game Pass/Arctic Grey/1.62Kg), 83ER00MCIN",4.4 out of 5 stars,"69,800",Organic
https://m.media-amazon.com/images/I/81XstkrCA8L._AC_UY218_.jpg,"HP 14, Intel Core Ultra 5 125H (24GB DDR5, 1TB SSD) Micro-Edge, Anti-Glare, FHD, 14''/35.6cm, Win11, M365* Office24, Silver, 1.4kg, ep1180TU, FHD Camera, Backlit Laptop",3.8 out of 5 stars,"87,990",Organic
https://m.media-amazon.com/images/I/61yC4DN4asL._AC_UY218_.jpg,"Aspire Lite 13th Gen Intel Core i5-1334U, Office 2024 + M365 Basic, 16 GB RAM/512GB SSD,Full HD, 15.6""/39.62 cm, Win 11 Home, Steel Gray, 1.59 KG, AL15-53, Metal Body, Thin and Light Premium Laptop",4.0 out of 5 stars,"56,900",Organic
https://m.media-amazon.com/images/I/71HKFtogydL._AC_UY218_.jpg,"HP Smartchoice Victus, 13th Gen Intel Core i7-13620H, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 144Hz, FHD, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.29kg, fa2309TX, RGB Gaming Laptop",4.0 out of 5 stars,"1,19,990",Organic
https://m.media-amazon.com/images/I/51w9ar5n+UL._AC_UY218_.jpg,"MSI Thin 15, Intel 13th Gen. i5-13420H, 40CM FHD 144Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050, GDDR6 6GB/Cosmos Gray/1.8Kg) B13UDX-129IN",4.4 out of 5 stars,"66,990",Organic
https://m.media-amazon.com/images/I/71YeigfZCuL._AC_UY218_.jpg,"ASUS Gaming V16 (2025) 14th Gen,Intel Core 7 240H Gaming Laptop (RTX 4050-6GB/16GB RAM/512GB SSD/Windows 11 Home/16/144Hz/M365*/Office Home 2024, Matte Black,1.95 Kg),V3607VU-RP275WS",4.5 out of 5 stars,"92,990",Organic
